iter	Passed	Remaining
976	15023	353
977	15035	338
978	15045	322
979	15061	307
980	15077	292
981	15090	276
982	15103	261
983	15118	245
984	15133	230
985	15145	215
986	15162	199
987	15175	184
988	15196	169
989	15208	153
990	15222	138
991	15234	122
992	15247	107
993	15262	92
994	15275	76
995	15291	61
996	15307	46
997	15323	30
998	15344	15
999	15361	0
